name,userName,supCOS,agentName,supPermission
Agt_083,Agt_083@LT1.com,SCOS1,Agt_083,supervisor Administrator
Agt_084,Agt_084@LT1.com,SCOS1,Agt_084,supervisor Administrator
Agt_085,Agt_085@LT1.com,SCOS1,Agt_085,supervisor Administrator
Agt_086,Agt_086@LT1.com,SCOS1,Agt_086,supervisor Administrator
Agt_087,Agt_087@LT1.com,SCOS1,Agt_087,supervisor Administrator
Agt_088,Agt_088@LT1.com,SCOS1,Agt_088,supervisor Administrator
Agt_089,Agt_089@LT1.com,SCOS1,Agt_089,supervisor Administrator
Agt_090,Agt_090@LT1.com,SCOS1,Agt_090,supervisor Administrator
Agt_091,Agt_091@LT1.com,SCOS1,Agt_091,supervisor Administrator
Agt_092,Agt_092@LT1.com,SCOS1,Agt_092,supervisor Administrator
Agt_093,Agt_093@LT1.com,SCOS1,Agt_093,supervisor Administrator
Agt_094,Agt_094@LT1.com,SCOS1,Agt_094,supervisor Administrator
Agt_095,Agt_095@LT1.com,SCOS1,Agt_095,supervisor Administrator
Agt_096,Agt_096@LT1.com,SCOS1,Agt_096,supervisor Administrator
Agt_097,Agt_097@LT1.com,SCOS1,Agt_097,supervisor Administrator
Agt_098,Agt_098@LT1.com,SCOS1,Agt_098,supervisor Administrator
Agt_099,Agt_099@LT1.com,SCOS1,Agt_099,supervisor Administrator
Agt_100,Agt_100@LT1.com,SCOS1,Agt_100,supervisor Administrator
Agt_101,Agt_101@LT1.com,SCOS1,Agt_101,supervisor Administrator
Agt_102,Agt_102@LT1.com,SCOS1,Agt_102,supervisor Administrator
Agt_103,Agt_103@LT1.com,SCOS1,Agt_103,supervisor Administrator
Agt_104,Agt_104@LT1.com,SCOS1,Agt_104,supervisor Administrator
Agt_105,Agt_105@LT1.com,SCOS1,Agt_105,supervisor Administrator
Agt_106,Agt_106@LT1.com,SCOS1,Agt_106,supervisor Administrator
Agt_107,Agt_107@LT1.com,SCOS1,Agt_107,supervisor Administrator
Agt_108,Agt_108@LT1.com,SCOS1,Agt_108,supervisor Administrator
Agt_109,Agt_109@LT1.com,SCOS1,Agt_109,supervisor Administrator
Agt_110,Agt_110@LT1.com,SCOS1,Agt_110,supervisor Administrator
Agt_111,Agt_111@LT1.com,SCOS1,Agt_111,supervisor Administrator
Agt_112,Agt_112@LT1.com,SCOS1,Agt_112,supervisor Administrator
Agt_113,Agt_113@LT1.com,SCOS1,Agt_113,supervisor Administrator
Agt_114,Agt_114@LT1.com,SCOS1,Agt_114,supervisor Administrator
Agt_115,Agt_115@LT1.com,SCOS1,Agt_115,supervisor Administrator
Agt_116,Agt_116@LT1.com,SCOS1,Agt_116,supervisor Administrator
Agt_117,Agt_117@LT1.com,SCOS1,Agt_117,supervisor Administrator
Agt_118,Agt_118@LT1.com,SCOS1,Agt_118,supervisor Administrator
Agt_119,Agt_119@LT1.com,SCOS1,Agt_119,supervisor Administrator
Agt_120,Agt_120@LT1.com,SCOS1,Agt_120,supervisor Administrator
Agt_121,Agt_121@LT1.com,SCOS1,Agt_121,supervisor Administrator
Agt_122,Agt_122@LT1.com,SCOS1,Agt_122,supervisor Administrator
Agt_123,Agt_123@LT1.com,SCOS1,Agt_123,supervisor Administrator
Agt_124,Agt_124@LT1.com,SCOS1,Agt_124,supervisor Administrator
Agt_125,Agt_125@LT1.com,SCOS1,Agt_125,supervisor Administrator
Agt_126,Agt_126@LT1.com,SCOS1,Agt_126,supervisor Administrator
Agt_127,Agt_127@LT1.com,SCOS1,Agt_127,supervisor Administrator
Agt_128,Agt_128@LT1.com,SCOS1,Agt_128,supervisor Administrator
Agt_129,Agt_129@LT1.com,SCOS1,Agt_129,supervisor Administrator
Agt_130,Agt_130@LT1.com,SCOS1,Agt_130,supervisor Administrator
Agt_131,Agt_131@LT1.com,SCOS1,Agt_131,supervisor Administrator
Agt_132,Agt_132@LT1.com,SCOS1,Agt_132,supervisor Administrator
Agt_133,Agt_133@LT1.com,SCOS1,Agt_133,supervisor Administrator
Agt_134,Agt_134@LT1.com,SCOS1,Agt_134,supervisor Administrator
Agt_135,Agt_135@LT1.com,SCOS1,Agt_135,supervisor Administrator
Agt_136,Agt_136@LT1.com,SCOS1,Agt_136,supervisor Administrator
Agt_137,Agt_137@LT1.com,SCOS1,Agt_137,supervisor Administrator
Agt_138,Agt_138@LT1.com,SCOS1,Agt_138,supervisor Administrator
Agt_139,Agt_139@LT1.com,SCOS1,Agt_139,supervisor Administrator
Agt_140,Agt_140@LT1.com,SCOS1,Agt_140,supervisor Administrator
Agt_141,Agt_141@LT1.com,SCOS1,Agt_141,supervisor Administrator
Agt_142,Agt_142@LT1.com,SCOS1,Agt_142,supervisor Administrator
Agt_143,Agt_143@LT1.com,SCOS1,Agt_143,supervisor Administrator
Agt_144,Agt_144@LT1.com,SCOS1,Agt_144,supervisor Administrator
Agt_145,Agt_145@LT1.com,SCOS1,Agt_145,supervisor Administrator
Agt_146,Agt_146@LT1.com,SCOS1,Agt_146,supervisor Administrator
Agt_147,Agt_147@LT1.com,SCOS1,Agt_147,supervisor Administrator
Agt_148,Agt_148@LT1.com,SCOS1,Agt_148,supervisor Administrator
Agt_149,Agt_149@LT1.com,SCOS1,Agt_149,supervisor Administrator
Agt_150,Agt_150@LT1.com,SCOS1,Agt_150,supervisor Administrator
Agt_151,Agt_151@LT1.com,SCOS1,Agt_151,supervisor Administrator
Agt_152,Agt_152@LT1.com,SCOS1,Agt_152,supervisor Administrator
Agt_153,Agt_153@LT1.com,SCOS1,Agt_153,supervisor Administrator
Agt_154,Agt_154@LT1.com,SCOS1,Agt_154,supervisor Administrator
Agt_155,Agt_155@LT1.com,SCOS1,Agt_155,supervisor Administrator
Agt_156,Agt_156@LT1.com,SCOS1,Agt_156,supervisor Administrator
Agt_157,Agt_157@LT1.com,SCOS1,Agt_157,supervisor Administrator
Agt_158,Agt_158@LT1.com,SCOS1,Agt_158,supervisor Administrator
Agt_159,Agt_159@LT1.com,SCOS1,Agt_159,supervisor Administrator
Agt_160,Agt_160@LT1.com,SCOS1,Agt_160,supervisor Administrator
Agt_161,Agt_161@LT1.com,SCOS1,Agt_161,supervisor Administrator
Agt_162,Agt_162@LT1.com,SCOS1,Agt_162,supervisor Administrator
Agt_163,Agt_163@LT1.com,SCOS1,Agt_163,supervisor Administrator
Agt_164,Agt_164@LT1.com,SCOS1,Agt_164,supervisor Administrator
Agt_165,Agt_165@LT1.com,SCOS1,Agt_165,supervisor Administrator
Agt_166,Agt_166@LT1.com,SCOS1,Agt_166,supervisor Administrator
Agt_167,Agt_167@LT1.com,SCOS1,Agt_167,supervisor Administrator
Agt_168,Agt_168@LT1.com,SCOS1,Agt_168,supervisor Administrator
Agt_169,Agt_169@LT1.com,SCOS1,Agt_169,supervisor Administrator
Agt_170,Agt_170@LT1.com,SCOS1,Agt_170,supervisor Administrator
Agt_171,Agt_171@LT1.com,SCOS1,Agt_171,supervisor Administrator
Agt_172,Agt_172@LT1.com,SCOS1,Agt_172,supervisor Administrator
Agt_173,Agt_173@LT1.com,SCOS1,Agt_173,supervisor Administrator
Agt_174,Agt_174@LT1.com,SCOS1,Agt_174,supervisor Administrator
Agt_175,Agt_175@LT1.com,SCOS1,Agt_175,supervisor Administrator
Agt_176,Agt_176@LT1.com,SCOS1,Agt_176,supervisor Administrator
Agt_177,Agt_177@LT1.com,SCOS1,Agt_177,supervisor Administrator
Agt_178,Agt_178@LT1.com,SCOS1,Agt_178,supervisor Administrator
Agt_179,Agt_179@LT1.com,SCOS1,Agt_179,supervisor Administrator
Agt_180,Agt_180@LT1.com,SCOS1,Agt_180,supervisor Administrator
Agt_181,Agt_181@LT1.com,SCOS1,Agt_181,supervisor Administrator
Agt_182,Agt_182@LT1.com,SCOS1,Agt_182,supervisor Administrator
Agt_183,Agt_183@LT1.com,SCOS1,Agt_183,supervisor Administrator
Agt_184,Agt_184@LT1.com,SCOS1,Agt_184,supervisor Administrator
Agt_185,Agt_185@LT1.com,SCOS1,Agt_185,supervisor Administrator
Agt_186,Agt_186@LT1.com,SCOS1,Agt_186,supervisor Administrator
Agt_187,Agt_187@LT1.com,SCOS1,Agt_187,supervisor Administrator
Agt_188,Agt_188@LT1.com,SCOS1,Agt_188,supervisor Administrator
Agt_189,Agt_189@LT1.com,SCOS1,Agt_189,supervisor Administrator
Agt_190,Agt_190@LT1.com,SCOS1,Agt_190,supervisor Administrator
Agt_191,Agt_191@LT1.com,SCOS1,Agt_191,supervisor Administrator
Agt_192,Agt_192@LT1.com,SCOS1,Agt_192,supervisor Administrator
Agt_193,Agt_193@LT1.com,SCOS1,Agt_193,supervisor Administrator
Agt_194,Agt_194@LT1.com,SCOS1,Agt_194,supervisor Administrator
Agt_195,Agt_195@LT1.com,SCOS1,Agt_195,supervisor Administrator
Agt_196,Agt_196@LT1.com,SCOS1,Agt_196,supervisor Administrator
Agt_197,Agt_197@LT1.com,SCOS1,Agt_197,supervisor Administrator
Agt_198,Agt_198@LT1.com,SCOS1,Agt_198,supervisor Administrator
Agt_199,Agt_199@LT1.com,SCOS1,Agt_199,supervisor Administrator
Agt_200,Agt_200@LT1.com,SCOS1,Agt_200,supervisor Administrator
Agt_201,Agt_201@LT1.com,SCOS1,Agt_201,supervisor Administrator
Agt_202,Agt_202@LT1.com,SCOS1,Agt_202,supervisor Administrator
Agt_203,Agt_203@LT1.com,SCOS1,Agt_203,supervisor Administrator
Agt_204,Agt_204@LT1.com,SCOS1,Agt_204,supervisor Administrator
Agt_205,Agt_205@LT1.com,SCOS1,Agt_205,supervisor Administrator
Agt_206,Agt_206@LT1.com,SCOS1,Agt_206,supervisor Administrator
Agt_207,Agt_207@LT1.com,SCOS1,Agt_207,supervisor Administrator
Agt_208,Agt_208@LT1.com,SCOS1,Agt_208,supervisor Administrator
Agt_209,Agt_209@LT1.com,SCOS1,Agt_209,supervisor Administrator
Agt_210,Agt_210@LT1.com,SCOS1,Agt_210,supervisor Administrator
